No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
92,8472,-7911,6686.5,2074.5,6.15309,0
93,8538,-7845,6752.5,2142.5,7.64742,0
94,8855,-7528,7069.5,158.5,14.7235,0
95,9253,-7130,7467.5,550.5,23.3378,0
96,9584,-6799,7798.5,885.5,30.6995,0
97,10055,-6328,8269.5,1359.5,41.1159,0
98,10465,-5918,8679.5,1767.5,50.0818,0
99,10891,-5492,9112.5,2194.5,59.4653,0
100,11553,-4830,9774.5,550.5,74.0129,0
101,12100,-4277,10320.5,1096.5,86.0115,0
102,12246,-4138,10459.5,1235.5,89.0441,0
103,12216,-4168,10429.5,1205.5,88.4288,0
104,12182,-4200,10397.5,1173.5,87.6596,0
105,12232,-4146,10451.5,1227.5,88.9562,0
106,12165,-4221,10376.5,1152.5,87.1102,0
107,11658,-4735,9862.5,638.5,75.749,0
108,11159,-5228,9369.5,145.5,65.047,0
109,11028,-5355,9242.5,18.5,62.2781,0
110,10988,-5395,9202.5,2283.5,61.4211,0
111,10922,-5461,9136.5,2218.5,59.9927,0
112,11016,-5367,9230.5,11.5,62.1682,0
113,11421,-4962,9635.5,417.5,71.0902,0
114,11958,-4425,10172.5,957.5,82.9569,0
115,12538,-3845,10752.5,1535.5,95.6586,0
116,13092,-3291,11306.5,2088.5,107.811,0
117,13490,-2893,11705.5,175.5,116.447,0
118,13883,-2500,12102.5,572.5,125.172,0
119,14248,-2135,12467.5,937.5,133.193,0
120,14382,-2001,12596.5,1066.5,136.049,0
121,14455,-1927,12670.5,1140.5,137.654,0
122,14401,-1984,12613.5,1083.5,136.379,0
123,14289,-2094,12503.5,973.5,133.962,0
124,14042,-2341,12256.5,726.5,128.49,0
125,13657,-2726,11871.5,341.5,119.941,0
126,13421,-2962,11635.5,103.5,114.865,0
127,13362,-3021,11576.5,46.5,113.613,0
128,13274,-3109,11485.5,2261.5,111.613,0
129,13079,-3307,11290.5,2066.5,107.328,0
130,13001,-3383,11214.5,1990.5,105.635,0
131,13252,-3127,11470.5,2246.5,111.437,0
132,13722,-2653,11944.5,414.5,121.897,0
133,14389,-1988,12609.5,1079.5,136.445,0
134,14944,-1433,13164.5,1634.5,148.663,0
135,15621,-754,13843.5,7.5,163.694,0
136,113,113,14711.5,875.5,182.769,0
137,840,840,15438.5,1602.5,198.635,0
138,1212,1212,15810.5,1974.5,206.7,0
139,1368,1368,15966.5,2132.5,210.106,0
140,1514,1514,16112.5,2276.5,213.271,0
141,1643,1643,16241.5,99.5,216.105,0
142,1910,1910,124.5,126.5,222.017,0
143,2240,2240,454.5,457.5,229.291,0
144,2451,2451,665.5,674.5,234.059,0
145,2781,2781,999.5,999.5,241.201,0
146,3073,3073,1292.5,1292.5,247.64,0
147,3559,3559,1783.5,1783.5,258.43,0
148,4352,4352,2577.5,271.5,275.878,0
149,5113,5113,3327.5,1025.5,292.448,0
150,5386,5386,3600.5,1295.5,298.381,0
151,5412,5412,3626.5,1320.5,298.931,0
152,5406,5406,3620.5,1313.5,298.777,0
153,5581,5585,3799.5,1493.5,302.842,0
154,6017,6017,4231.5,1931.5,312.357,0
155,6626,6632,4846.5,234.5,325.872,0
156,7430,7430,5644.5,1044.5,343.54,0
157,8256,-8115,6482.5,1879.5,1.8679,0
158,9031,-7352,7255.5,337.5,18.6571,0
159,9488,-6895,7702.5,786.5,28.524,0
160,9600,-6782,7815.5,897.5,30.9633,0
161,9350,-7033,7564.5,644.5,25.4035,0
162,9098,-7287,7310.5,392.5,19.8657,0
163,9025,-7358,7237.5,319.5,18.2615,0
164,8909,-7477,7120.5,202.5,15.6464,0
165,8647,-7736,6857.5,2245.5,9.91088,0
166,8489,-7893,6704.5,2092.5,6.52668,0
167,8798,-7585,7017.5,99.5,13.4269,0
168,9365,-7007,7590.5,672.5,26.2386,0
169,10098,-6285,8318.5,1400.5,42.0168,0
170,10738,-5645,8952.5,2040.5,56.0811,0
171,11260,-5123,9474.5,251.5,67.4423,0
172,11721,-4656,9941.5,717.5,77.8147,0
173,11914,-4472,10125.5,901.5,81.6823,0
174,11816,-4567,10028.5,804.5,79.5947,0
175,11760,-4623,9974.5,748.5,78.3641,0
176,11674,-4709,9888.5,664.5,76.5181,0
177,11443,-4940,9651.5,427.5,71.31,0
178,11197,-5186,9411.5,187.5,66.0359,0
179,11313,-5070,9530.5,306.5,68.651,0
180,11638,-4741,9856.5,632.5,75.8149,0
181,12128,-4255,10342.5,1124.5,86.6268,0
182,12525,-3858,10743.5,1519.5,95.307,0
183,13126,-3257,11350.5,2126.5,108.646,0
184,13999,-2384,12213.5,694.5,127.853,0
185,14758,-1625,12977.5,1447.5,144.4,0
186,15068,-1315,13282.5,1753.5,151.124,0
187,15105,-1278,13317.5,1787.5,151.872,0
188,15150,-1231,13366.5,1836.5,152.97,0
189,15436,-947,13656.5,2126.5,159.321,0
190,16057,-316,14281.5,445.5,173.254,0
191,251,251,14849.5,1016.5,185.582,0
192,567,567,15165.5,1328.5,192.438,0
193,690,690,15289.5,1453.5,195.185,0
194,747,746,15344.5,1508.5,196.394,0
195,924,924,15522.5,1686.5,200.459,0
196,1195,1195,15793.5,1960.5,206.326,0
197,1681,1689,16287.5,145.5,217.314,0
198,2527,2527,741.5,755.5,235.839,0
199,3465,3477,1691.5,1691.5,256.628,0
200,4313,4313,2536.5,230.5,274.977,0
201,4939,4939,3153.5,850.5,288.602,0
202,5095,5092,3306.5,1000.5,291.876,0
203,4681,4681,2888.5,582.5,282.713,0
204,4296,4294,2508.5,202.5,274.362,0
205,4327,4328,2542.5,236.5,275.109,0
206,4463,4463,2678.5,372.5,278.098,0
207,4410,4406,2620.5,314.5,276.757,0
208,4338,4338,2552.5,249.5,275.395,0
209,4449,4449,2663.5,357.5,277.768,0
210,4654,4654,2868.5,566.5,282.361,0
211,5053,5053,3272.5,966.5,291.151,0
212,5299,5299,3515.5,1209.5,296.491,0
213,5680,5680,3900.5,1594.5,304.952,0
214,6413,6413,4627.5,23.5,321.104,0
215,7156,7156,5377.5,765.5,337.409,0
216,7667,7673,5887.5,1275.5,348.617,0
217,7912,7915,6129.5,1517.5,353.935,0
218,8054,8055,6269.5,1657.5,357.055,0
219,8356,-8027,6570.5,1958.5,3.71383,0
220,9038,-7345,7252.5,334.5,18.8988,0
221,9655,-6728,7869.5,955.5,32.2378,0
222,9967,-6416,8181.5,1264.5,39.0282,0
223,10137,-6246,8351.5,1435.5,42.786,0
224,10248,-6135,8462.5,1545.5,45.2033,0
225,10497,-5881,8716.5,1798.5,50.763,0
226,11001,-5382,9215.5,2305.5,61.9045,0
227,11671,-4712,9885.5,668.5,76.606,0
228,12210,-4173,10429.5,1205.5,88.4068,0
229,12672,-3704,10893.5,1669.5,98.6912,0
230,13115,-3262,11335.5,2111.5,108.47,0
231,13398,-2981,11616.5,86.5,114.513,0
232,13698,-2676,11921.5,391.5,121.348,0
233,14097,-2286,12314.5,784.5,129.83,0
234,14387,-1993,12604.5,1074.5,136.247,0
235,14622,-1761,12838.5,1308.5,141.345,0
236,14657,-1726,12871.5,1342.5,142.093,0
237,14685,-1696,12901.5,1371.5,142.752,0
238,14554,-1836,12761.5,1231.5,139.653,0
239,13911,-2472,12125.5,584.5,125.435,0
240,13365,-3023,11569.5,39.5,113.459,0
241,12995,-3388,11204.5,1980.5,105.438,0
242,12667,-3720,10877.5,1653.5,98.1638,0
243,12655,-3728,10869.5,1650.5,98.1858,0
244,12919,-3464,11136.5,1912.5,103.943,0
245,13370,-3013,11590.5,60.5,113.92,0
246,14111,-2272,12337.5,807.5,130.336,0
247,14999,-1374,13223.5,1693.5,149.806,0
248,15792,-582,14015.5,179.5,167.452,0
249,16279,-104,14493.5,657.5,177.759,0
250,85,85,14683.5,849.5,181.912,0
251,55,55,14653.5,813.5,181.121,0
252,33,33,14631.5,798.5,180.791,0
253,281,281,14879.5,1047.5,186.263,0
254,544,544,15142.5,1309.5,192.021,0
255,869,869,15467.5,1637.5,199.228,0
256,1277,1277,15875.5,2045.5,208.194,0
257,1889,1889,115.5,115.5,221.775,0
258,2746,2746,970.5,970.5,240.564,0
259,3634,3634,1859.5,1859.5,260.1,0
260,4427,4435,2649.5,343.5,277.636,0
261,5032,5039,3253.5,947.5,290.734,0
262,5232,5230,3444.5,1138.5,294.887,0
263,4994,4990,3204.5,898.5,289.547,0
264,4621,4618,2832.5,526.5,281.438,0
265,4482,4481,2695.5,389.5,278.471,0
266,4419,4419,2633.5,327.5,277.153,0
