No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
337,14303,-2080,12517.5,987.5,134.335,0
338,14250,-2132,12465.5,935.5,133.149,0
339,14152,-2235,12362.5,832.5,130.885,0
340,13941,-2442,12152.5,622.5,126.27,0
341,13734,-2649,11945.5,415.5,121.721,0
342,13718,-2665,11937.5,407.5,121.546,0
343,14019,-2364,12237.5,707.5,128.138,0
344,14346,-2034,12563.5,1033.5,135.302,0
345,14610,-1770,12827.5,1297.5,141.17,0
346,14598,-1787,12810.5,1280.5,140.576,0
347,14055,-2337,12260.5,730.5,128.424,0
348,13562,-2825,11772.5,242.5,117.832,0
349,13395,-2989,11608.5,78.5,114.316,0
350,13226,-3160,11437.5,2213.5,110.514,0
351,13006,-3377,11220.5,1996.5,105.767,0
352,12986,-3395,11202.5,1978.5,105.438,0
353,13286,-3090,11507.5,2283.5,112.206,0
354,13853,-2522,12075.5,545.5,124.578,0
355,14628,-1746,12851.5,1321.5,141.851,0
356,15280,-1095,13502.5,1972.5,156.113,0
357,15926,-452,14145.5,309.5,170.155,0
358,64,72,14670.5,834.5,181.758,0
359,418,421,15019.5,1183.5,189.252,0
360,428,428,15026.5,1190.5,189.383,0
361,330,332,14930.5,1094.5,187.296,0
362,328,327,14925.5,1089.5,187.142,0
363,401,403,15001.5,1165.5,188.9,0
364,284,284,14882.5,1043.5,186.175,0
365,16205,-178,14419.5,576.5,175.935,0
366,15766,-617,13980.5,139.5,166.331,0
367,15506,-877,13718.5,2188.5,160.684,0
368,15309,-1074,13521.5,1991.5,156.355,0
369,15424,-959,13642.5,2112.5,159.014,0
370,15882,-501,14103.5,267.5,169.144,0
371,1,1,14605.5,769.5,180.154,0
372,431,431,15036.5,1200.5,189.625,0
373,846,846,15446.5,1610.5,198.635,0
374,1122,1122,15726.5,1890.5,204.788,0
375,1494,1494,16097.5,2261.5,212.941,0
376,2150,2150,372.5,372.5,227.423,0
377,2731,2731,947.5,947.5,240.059,0
378,2947,2947,1162.5,1162.5,244.783,0
379,3045,3045,1263.5,1263.5,247.003,0
380,3162,3162,1379.5,1379.5,249.552,0
381,3448,3448,1669.5,1669.5,255.925,0
382,4030,4030,2253.5,2253.5,268.758,0
383,4733,4733,2950.5,644.5,284.075,0
384,5221,5221,3439.5,1133.5,294.821,0
385,5538,5538,3755.5,1449.5,301.765,0
386,5855,5855,4075.5,1769.5,308.797,0
387,6272,6272,4489.5,2183.5,317.895,0
388,6792,6792,5012.5,400.5,329.388,0
389,7273,7273,5491.5,879.5,339.915,0
390,7464,7464,5679.5,1067.5,344.046,0
391,7507,7507,5722.5,1110.5,344.991,0
392,7466,7466,5679.5,1067.5,344.046,0
393,7443,7443,5659.5,1047.5,343.606,0
394,7248,7243,5457.5,845.5,339.167,0
395,6691,6683,4897.5,285.5,326.663,0
396,6153,6153,4367.5,2061.5,315.082,0
397,5731,5731,3945.5,1634.5,305.831,0
398,5453,5453,3667.5,1357.5,299.744,0
399,5456,5456,3670.5,1368.5,299.985,0
