time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.386,10.7679,-0.0418546,0.109297,-0.0674421,0.108199,0.0805732
0.387,10.7899,-0.0498273,0.0734194,-0.0235921,0.0515804,0.0762312
0.388,10.7679,-0.054478,0.026779,0.0276991,-0.0174757,0.0644886
0.39,10.8558,-0.0438477,0.0459135,-0.00206577,0.0197552,0.060424
0.39,10.8558,-0.0305599,0.0758112,-0.0452514,0.0739975,0.0570378
0.392,10.8998,-0.0498273,0.0542849,-0.00445759,0.0257146,0.0691971
0.393,10.8998,-0.0265735,0.0985335,-0.07196,0.109417,0.0598815
0.397,10.9437,-0.076403,0.0566767,0.0197263,0.00321978,0.0971001
0.399,10.9657,-0.0385326,0.0829867,-0.0444541,0.0760096,0.0676037
0.4,10.8558,-0.039197,0.0937499,-0.0545529,0.0907022,0.071236
0.402,10.9217,-0.00199095,0.126039,-0.124048,0.171347,0.0437962
0.403,10.8778,-0.0863689,0.0351503,0.0512186,-0.0366311,0.100078
0.404,10.9217,-0.0690947,0.0542849,0.0148098,0.00707435,0.0888268
0.404,10.8998,0.00664617,0.123648,-0.130294,0.176474,0.0336767
0.405,10.9217,-0.035875,0.0997294,-0.0638544,0.10216,0.0698119
0.405,10.8778,-0.0332174,0.0734194,-0.040202,0.0682623,0.058739
0.407,10.8558,-0.0338818,0.0734194,-0.0395376,0.0672913,0.0597787
0.41,10.8558,-0.0312243,0.111688,-0.0804642,0.122761,0.0696669
0.41,10.8778,-0.0332174,0.0817908,-0.0485733,0.0794249,0.0620015
0.411,10.9217,-0.0704235,0.0495012,0.0209222,-0.000796548,0.088583
0.411,10.8998,-0.0604576,0.0734194,-0.0129618,0.0413392,0.0866291
0.412,10.8558,-0.0112925,0.0734194,-0.062127,0.089939,0.0361394
0.412,10.8998,-0.0431833,0.0746153,-0.031432,0.0599532,0.0694682
0.413,10.8998,-0.032553,0.0363462,-0.00379319,0.0178872,0.0455542
0.413,10.8119,-0.0119568,0.189423,-0.177466,0.248578,0.0756773
0.414,10.8778,-0.0551424,0.0937499,-0.0386074,0.0744581,0.088183
0.415,10.8558,-0.0338818,0.0554808,-0.0215989,0.0429804,0.0533413
0.415,10.8998,-0.00863488,0.127235,-0.1186,0.16638,0.0514495
0.416,10.8778,-0.0571356,0.0626562,-0.00552063,0.0296209,0.0796452
0.416,10.8558,-0.0597932,0.0889662,-0.029173,0.0638138,0.0909345
0.417,10.8558,-0.0398614,0.0459135,-0.00605213,0.0242864,0.056199
0.417,10.8998,-0.039197,0.065048,-0.0258511,0.0507423,0.0621382
0.418,10.9217,-0.054478,0.0148199,0.0396581,-0.0331929,0.0604854
0.418,10.8998,-0.0126212,0.0411299,-0.0285086,0.0442506,0.0265629
0.419,10.8998,0.0139545,0.196598,-0.210552,0.283892,0.0508271
0.419,10.8998,-0.0338818,0.151153,-0.117272,0.174575,0.0852741
0.42,10.8998,-0.0445121,0.0877703,-0.0432582,0.0771015,0.0749105
0.422,10.8998,-0.0445121,0.0746153,-0.0301032,0.059027,0.0705038
0.423,10.9217,-0.0710879,0.039934,0.0311539,-0.0143597,0.0860963
0.423,10.8998,-0.0285667,0.187031,-0.158464,0.229062,0.091858
0.424,10.8998,-0.039197,-0.00192284,0.0411198,-0.0410464,0.0393209
0.424,10.8998,0.0166121,0.0937499,-0.110362,0.145002,0.0148094
0.425,10.8558,-0.0279023,0.0985335,-0.0706312,0.108611,0.0606612
0.426,10.8778,-0.0604576,0.0411299,0.0193277,-0.00256101,0.0755896
0.426,10.9437,-0.00398413,0.108101,-0.104117,0.144416,0.0410609
0.427,10.9437,-0.076403,0.103317,-0.0269141,0.0673023,0.112724
0.427,10.8778,-0.0279023,0.0746153,-0.046713,0.0748227,0.0541263
0.428,10.9217,-0.0451765,0.0447176,0.000458922,0.0181188,0.0609303
0.429,10.9437,0.00133102,0.0351503,-0.0364813,0.049596,0.0104138
0.429,10.8778,-0.0431833,0.0770071,-0.0338238,0.0632351,0.0702871
0.432,10.8778,-0.0498273,0.0542849,-0.00445759,0.0259002,0.0691278
0.432,10.8778,-0.00199095,0.0925539,-0.090563,0.125042,0.0337111
0.433,10.8558,-0.0651083,0.0447176,0.0203907,-0.00217576,0.0815463
0.434,10.8998,-0.0498273,0.0375421,0.0122851,0.00289627,0.0635193
0.434,10.8778,-0.017272,0.0363462,-0.0190742,0.0330624,0.0298341
0.435,10.8778,-0.0332174,0.0184076,0.0148098,-0.00716477,0.0401277
0.435,10.8558,-0.0657727,0.0841826,-0.0184099,0.0519105,0.0951682
0.436,10.9217,-0.0365394,0.0554808,-0.0189414,0.0406768,0.0558338
0.436,10.8998,-0.020594,0.108101,-0.0875068,0.128405,0.0572668
0.437,10.8998,-0.0279023,0.112884,-0.0849821,0.127837,0.0663413
0.437,10.8998,-0.0332174,0.111688,-0.078471,0.121191,0.0710498
0.438,10.8558,0.00863935,0.118864,-0.127503,0.171502,0.0323664
0.438,10.8998,-0.0232515,0.039934,-0.0166824,0.0323483,0.0369763
0.439,10.8998,-0.0657727,0.0351503,0.0306224,-0.0163941,0.0789339
0.439,10.8778,-0.0445121,0.053089,-0.00857683,0.0291102,0.0634502
0.44,10.8778,-0.0657727,0.039934,0.0258388,-0.0093975,0.0806232
0.441,10.8998,-0.0312243,0.0590685,-0.0278442,0.0505105,0.0518462
0.442,10.8998,-0.00199095,0.11408,-0.112089,0.154797,0.0402501
0.442,10.8778,-0.0146144,0.0925539,-0.0779395,0.112387,0.0471551
0.444,10.8338,-0.0126212,0.0207994,-0.00817818,0.0161388,0.0199583
0.444,10.8778,-0.0126212,0.108101,-0.0954795,0.136063,0.049481
0.445,10.8778,-0.0445121,0.133215,-0.0887027,0.139541,0.0901335
0.445,10.8778,-0.0312243,0.0626562,-0.031432,0.0554367,0.0532099
0.446,10.9217,-0.0225871,0.0447176,-0.0221305,0.0394731,0.0379668
0.446,10.8998,-0.000662158,0.0710276,-0.0703654,0.0969427,0.0244698
