time, angle [deg]
12.049,18712.9
12.059,18730
12.069,18747.5
12.079,18762.5
12.089,18780
12.1,18798.7
12.11,18813
12.12,18831.4
12.13,18850.1
12.14,18865.8
12.15,18885.4
12.16,18904.2
12.171,18921.7
12.181,18944.2
12.191,18963.6
12.201,18982.5
12.211,19002.4
12.221,19018.5
12.232,19035
12.242,19053.3
12.252,19069.8
12.262,19085.3
12.272,19104.5
12.282,19120
12.292,19137
12.303,19156.4
12.313,19171.7
12.323,19189.7
12.333,19208.5
12.343,19224.7
12.353,19243.4
12.363,19262.5
12.374,19279.9
12.384,19301.8
12.394,19321.8
12.404,19340.2
12.414,19360.4
12.424,19377.3
12.434,19393
12.445,19411.7
12.455,19428.3
12.465,19442.5
12.475,19461.9
12.485,19477.5
12.495,19493
12.506,19512.5
12.516,19528.7
12.526,19544.1
12.536,19563.7
12.546,19580.9
12.556,19596.5
12.567,19617.1
12.577,19634.7
12.587,19654.9
12.597,19675.9
12.607,19693.8
12.617,19714.1
12.627,19732.6
12.638,19746.2
12.648,19765.8
12.658,19783
12.668,19796.4
12.678,19815.8
12.688,19832.2
12.698,19847
12.709,19866
12.719,19883.8
12.729,19897.4
12.739,19917.7
12.749,19936
12.759,19950.6
12.77,19972
12.78,19990.3
12.79,20009
12.8,20031.1
12.81,20049.6
12.82,20069.6
12.83,20088.7
12.841,20103.2
12.851,20122.1
12.861,20139.2
12.871,20153.6
12.881,20171
12.891,20188.5
12.901,20203.5
12.912,20221.3
12.922,20239.8
12.932,20253.5
12.942,20271.8
12.952,20290.3
12.962,20305.7
12.972,20324.9
12.983,20343.6
12.993,20360.7
13.003,20382.8
13.013,20402.7
13.023,20421.1
13.033,20441
13.043,20457.5
13.054,20473.1
13.064,20491.3
13.074,20507.8
13.084,20521
13.094,20540.8
13.104,20556.3
13.114,20571.7
13.125,20591.3
13.135,20607.6
13.145,20622.4
13.155,20642.8
13.165,20660.7
13.175,20676.7
13.185,20697.5
13.196,20715.4
13.206,20736
13.216,20757.6
13.226,20776
13.236,20797
13.246,20815.2
13.257,20830.6
13.267,20849.9
13.277,20866.9
13.287,20880.5
13.297,20900.4
13.307,20915.9
13.317,20931.1
13.328,20951
13.338,20967.5
13.348,20982.6
13.358,21002.9
13.368,21020.8
13.378,21037.4
13.388,21058.1
13.399,21076.2
13.409,21097.3
13.419,21118.6
13.429,21137.2
13.439,21157.9
13.449,21175.6
13.459,21190.7
13.47,21209.8
13.48,21226.4
13.49,21239.8
13.5,21259.3
13.51,21275.1
13.52,21289.8
13.53,21309.3
13.54,21326.2
13.551,21339.9
13.561,21360
13.571,21377.7
13.581,21391.6
13.591,21412.5
13.601,21429.9
13.611,21447.2
13.622,21468.9
13.632,21486.8
13.642,21505.3
13.652,21524.1
13.662,21539.1
13.672,21554.6
13.682,21572.1
13.693,21588.1
13.703,21600.8
13.713,21620
13.723,21635
13.733,21649.1
13.743,21667.8
13.754,21684.5
13.764,21696.8
13.774,21716.2
13.784,21733.8
13.794,21747.6
13.804,21767.3
13.814,21785.5
13.825,21802.1
13.835,21824.1
13.845,21843.3
13.855,21861.6
13.865,21881.4
13.875,21897.6
13.885,21913.3
13.896,21931.7
13.906,21948.2
13.916,21962.2
13.926,21981.9
13.936,21997.5
13.946,22013.1
13.956,22032.5
13.967,22048.6
13.977,22063.7
13.987,22083.7
13.997,22101.1
14.007,22117.3
14.017,22137.8
14.027,22155.6
14.038,22176.1
14.048,22197.2
14.058,22214.9
14.068,22235.5
14.078,22253.5
14.088,22267.5
14.098,22286.9
14.109,22303.9
14.119,22317.2
14.129,22336.5
14.139,22352.4
14.149,22366.7
14.159,22385.2
14.17,22402.9
14.18,22415.9
14.19,22435
14.2,22453
14.21,22467.1
14.22,22487.2
14.23,22505.5
14.241,22522.9
14.251,22544.7
14.261,22563.2
14.271,22581
14.281,22600.6
14.291,22616.6
14.302,22630.8
14.312,22649.3
14.322,22665.6
14.332,22677.8
14.342,22697.2
14.352,22712.7
14.363,22726.9
14.373,22745.1
14.383,22762.7
14.393,22775.6
14.403,22794.6
14.413,22812.5
14.424,22826.9
14.434,22846.3
14.444,22864.2
14.454,22880.8
14.464,22902.7
14.474,22922.1
14.484,22939.9
14.495,22959.7
14.505,22976.2
14.515,22990.2
14.525,23009.2
14.535,23025.7
14.545,23038.8
14.555,23058.5
14.566,23074.1
14.576,23088.8
14.586,23108
14.596,23125.3
14.606,23138.9
14.616,23159.5
