time [sec], Angle [deg], Uph-Current [A], Vph-Current [A], Wph-Current [A]
7.151,23315.6,-0.00694128,-0.461516,0.468457
7.171,23381.3,0.635084,0.19982,-0.834904
7.191,23450.3,-0.731775,0.502925,0.228849
7.212,23519.1,0.339404,-0.636259,0.296855
7.232,23584.7,0.636618,0.184693,-0.821311
7.252,23654.9,-0.996941,0.267046,0.729895
7.272,23723.1,0.376496,-0.679967,0.30347
7.293,23791.1,0.777486,1.20649,-1.98398
7.313,23859.1,-0.984366,0.255308,0.729058
7.333,23924.7,1.48772,-1.19698,-0.290747
7.353,23994,-0.00266536,1.19005,-1.18739
7.373,24061.8,-1.28211,0.0100591,1.27205
7.393,24129.8,1.51577,-1.18988,-0.325891
7.414,24198.2,-0.0382519,1.14506,-1.10681
7.434,24263.7,-1.18637,-0.021159,1.20753
7.454,24332.3,1.46284,-1.13339,-0.329446
7.474,24400.3,-0.0355079,1.14663,-1.11112
7.494,24467,-1.16567,-0.0274358,1.1931
7.515,24537.8,1.43862,-1.01397,-0.424654
7.535,24603.6,-0.0615106,1.13598,-1.07447
7.555,24670.8,-1.13579,-0.0567519,1.19254
7.575,24741,1.34992,-1.00171,-0.348211
7.595,24806.3,-0.0714517,1.1114,-1.03994
7.615,24875.3,-1.03453,-0.0691907,1.10372
7.636,24943.8,1.26039,-0.898196,-0.36219
7.656,25007.3,-0.147398,1.00654,-0.859144
7.676,25076.7,-0.759084,-0.10826,0.867344
7.696,25146.4,1.29768,-0.766647,-0.531031
7.716,25212.3,-0.190258,1.00776,-0.817504
7.736,25280.2,-0.751384,-0.184944,0.936328
7.757,25347.4,1.20466,-0.618061,-0.586603
7.777,25414.5,-0.302697,0.928752,-0.626055
7.797,25482.4,-0.561911,-0.263934,0.825844
7.817,25549.7,1.03977,-0.413225,-0.626547
7.837,25618.9,-0.347644,0.870172,-0.522528
7.857,25685.3,-0.486916,-0.272339,0.759255
7.878,25753.2,0.93289,-0.407262,-0.525628
7.898,25822.2,-0.39004,0.800746,-0.410706
7.918,25889.1,-0.299927,-0.360756,0.660683
7.938,25958.5,0.969102,-0.12999,-0.839112
7.958,26026.1,-0.449614,0.795749,-0.346135
7.979,26092.5,-0.0146168,-0.501236,0.515853
7.999,26161.3,0.910544,0.184387,-1.09493
8.019,26228.7,-0.573701,0.674727,-0.101026
8.039,26297.9,0.004171,-0.655002,0.650831
8.059,26366.5,0.728614,0.183334,-0.911948
8.08,26431.6,-0.762835,0.477033,0.285802
8.1,26500.2,0.853188,-0.897992,0.0448044
8.12,26569.3,0.778689,0.627557,-1.40625
8.14,26636.2,-0.779114,0.451843,0.327271
8.16,26706,0.402695,-0.625941,0.223246
8.181,26772.4,0.326868,0.622739,-0.949608
8.201,26840.2,-0.994977,0.256824,0.738153
8.221,26909.9,0.851403,-0.86894,0.0175373
8.241,26975.8,-0.0374732,1.19173,-1.15425
8.261,27046,-1.092,0.185046,0.906949
8.281,27113.8,1.50411,-1.16708,-0.33703
8.302,27179.1,-0.0188981,1.18185,-1.16295
8.322,27249.6,-1.27473,0.00712083,1.26761
8.342,27318.3,1.49872,-1.18001,-0.318709
8.362,27385.2,-0.0374472,1.14602,-1.10858
8.383,27453.5,-1.2118,-0.0368172,1.24862
8.403,27520.8,1.44396,-1.09222,-0.351744
8.423,27588,-0.0447506,1.13875,-1.09399
8.443,27656.1,-1.1565,-0.0534739,1.20997
8.463,27723.7,1.35537,-0.992482,-0.362888
8.483,27791.5,-0.0550419,1.13471,-1.07967
8.504,27858.1,-1.01263,-0.0813198,1.09395
8.524,27925.6,1.34507,-0.889725,-0.455348
8.544,27994.3,-0.133941,1.06329,-0.929354
8.564,28061.3,-1.01226,-0.0652403,1.0775
8.584,28129.6,1.2488,-0.76458,-0.484216
8.604,28196.6,-0.156429,1.05299,-0.896563
8.625,28264.5,-0.898134,-0.19846,1.09659
8.645,28332.8,1.2578,-0.610292,-0.647505
8.665,28400.2,-0.122349,0.997746,-0.875397
8.685,28470.5,-0.852849,-0.181129,1.03398
8.706,28537.3,1.2226,-0.609437,-0.613163
8.726,28602.9,-0.227275,0.986368,-0.759093
8.746,28673,-0.753545,-0.180846,0.934392
8.766,28740.6,1.22012,-0.611393,-0.608726
8.786,28808.6,-0.266104,0.941829,-0.675725
8.807,28877.5,-0.0307372,-0.453251,0.483988
8.827,28941,0.73529,-0.228736,-0.506555
8.847,29007,-0.378836,0.781365,-0.402529
8.867,29078.3,-0.318068,-0.325507,0.643575
8.887,29141.1,1.00624,0.235773,-1.24202
8.908,29208.1,-1.28151,0.0243717,1.25714
8.928,29274.2,0.777108,0.31319,-1.0903
8.948,29338.7,-0.801824,0.792477,0.00934646
8.97,29417.4,1.11818,-0.621781,-0.4964
8.99,29489,-1.09139,0.652806,0.438583
9.011,29552.4,0.317267,0.649407,-0.966674
9.031,29623.2,-0.388992,0.397801,-0.00880825
9.052,29689.1,0.342458,-0.662865,0.320407
9.072,29747.6,1.29954,-0.0501332,-1.2494
9.092,29814,-1.24486,1.03583,0.209033
9.112,29880.2,0.212364,-1.17063,0.958263
9.132,29949.1,1.42805,0.100216,-1.52827
9.152,30017.3,-1.33183,1.12426,0.207572
9.174,30086.3,0.225491,-1.1378,0.912306
9.194,30156,1.40805,0.131475,-1.53952
9.214,30223.5,-1.18266,1.01438,0.168284
9.234,30291.1,0.195607,-1.14242,0.946814
9.255,30359.9,1.24538,0.132935,-1.37831
9.276,30428.9,-1.15323,0.892998,0.260234
9.3,30498.2,-0.450762,-0.647551,1.09831
9.32,30571.2,1.44584,-0.12634,-1.3195
9.34,30643.6,-1.12611,-0.060729,1.18684
9.36,30718.6,1.24395,-0.86776,-0.376192
9.382,30782.5,-0.983154,0.789617,0.193537
9.402,30833.8,1.04207,0.228832,-1.2709
9.422,30893,0.433611,0.790722,-1.22433
9.443,30964.1,-0.99745,0.0999071,0.897543
9.465,31044.1,0.236014,0.155998,-0.392012
9.489,31132.8,-0.242248,0.890153,-0.647906
9.509,31205.2,0.670588,-0.497348,-0.17324
9.53,31275.1,0.315201,-0.0873514,-0.227849
9.55,31346.8,-0.52114,-0.261283,0.782423
9.571,31421.6,0.961323,-0.506492,-0.454831
9.593,31476.8,-1.28479,0.281275,1.00352
9.619,31560.9,-0.770583,-0.163134,0.933717
9.639,31616.8,-1.29305,0.0450184,1.24803
9.661,31691.8,0.0112018,-0.528313,0.517112
9.682,31757.8,1.44413,-0.480107,-0.964021
9.702,31823.7,-1.09899,-0.0598476,1.15883
9.724,31900.6,1.28233,0.11616,-1.39849
9.744,31979.5,-1.10905,0.817694,0.291354
9.766,32047.2,1.11598,-0.671238,-0.444742
9.786,32121.5,-1.08934,0.887245,0.20209
9.811,32206.3,-0.225913,-0.954879,1.18079
9.833,32280.3,0.762969,0.587992,-1.35096
9.855,32354.4,-0.133944,-0.679256,0.8132
9.875,32422.6,1.63087,0.361282,-1.99215
9.897,32492.2,0.184278,0.442372,-0.62665
9.917,32561.1,-0.145688,-0.676676,0.822363
9.937,32628.1,-0.26426,1.18181,-0.917553
9.957,32700,0.629989,-1.07399,0.444005
9.978,32777.4,0.619407,0.282802,-0.90221
9.998,32844.3,0.312844,-1.1439,0.831057
10.018,32913.8,-0.142047,0.413916,-0.27187
