time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.582,346.068,1.26301,2.36956,-3.63258,-4.41795,0.942027
0.582,346.046,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.583,346.024,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.583,346.068,1.26301,2.36956,-3.63258,-4.40758,0.965736
0.584,346.024,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.584,346.046,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.584,346.112,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.585,346.09,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.585,346.112,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.586,346.134,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.586,346.134,1.26301,2.36956,-3.63258,-4.40758,0.989417
