time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.371,107.613,-0.000662158,-1.01605,1.01672,-0.799325,-1.19464
0.371,107.635,-0.0810538,-0.543669,0.624723,-0.539886,-0.633205
0.372,107.657,0.120257,0.151153,-0.271411,0.286672,0.168141
0.373,107.613,-0.0498273,-0.825904,0.875731,-0.70887,-0.974171
0.374,107.635,0.104976,0.341303,-0.446279,0.41422,0.392708
0.375,107.635,0.275061,-0.159783,-0.115278,0.264317,-0.211222
0.376,107.569,0.120257,0.379572,-0.499829,0.46562,0.437681
0.377,107.591,-0.352791,0.0590685,0.293722,-0.451978,0.0996939
0.377,107.679,0.125573,-0.963433,0.837861,-0.570601,-1.14909
0.378,107.635,0.325555,-0.038996,-0.286559,0.428977,-0.0748445
0.379,107.635,0.00863935,0.299446,-0.308085,0.246545,0.351958
0.38,107.569,-0.0132856,-0.766108,0.779394,-0.613473,-0.904547
0.38,107.657,0.433851,-0.078461,-0.35539,0.551638,-0.127988
0.381,107.613,-0.182042,-0.61662,0.798661,-0.737605,-0.71215
0.382,107.591,0.233204,-0.193268,-0.0399361,0.177227,-0.248842
0.383,107.657,0.455112,0.256393,-0.711505,0.841596,0.266121
0.384,107.635,-0.0770674,0.0734194,0.003648,-0.0518158,0.0930496
0.385,107.569,-0.198651,-0.419295,0.617946,-0.608528,-0.476258
0.386,107.635,0.195334,-0.078461,-0.116873,0.215748,-0.106881
0.387,107.613,0.391994,0.628321,-1.02032,1.04311,0.708109
0.388,107.657,0.378707,-0.0963996,-0.282307,0.459855,-0.144715
0.389,107.657,-0.347476,-0.845038,1.19251,-1.14397,-0.967626
0.391,107.635,0.178724,0.0889662,-0.26769,0.3214,0.0906517
0.391,107.701,0.0989969,0.149958,-0.248954,0.256634,0.169226
0.392,107.613,-0.312263,0.839997,-0.527734,0.219391,1.01718
0.394,107.591,-0.352791,-0.733819,1.08661,-1.07224,-0.835932
0.395,107.657,0.158128,0.45611,-0.614238,0.577327,0.52633
0.396,107.635,0.0724211,0.715622,-0.788043,0.662275,0.83652
0.397,107.635,-0.0969992,-0.317643,0.414642,-0.384517,-0.36658
0.397,107.613,-0.352791,0.0554808,0.29731,-0.453991,0.0991201
0.399,107.591,0.389337,-0.025841,-0.363496,0.529637,-0.0621698
0.399,107.635,-0.0219227,-0.840255,0.862178,-0.68854,-0.987812
0.4,107.613,0.104976,-0.0868324,-0.018144,0.0811059,-0.110955
0.401,107.679,0.114942,-0.126297,0.011355,0.0625352,-0.159314
0.401,107.679,-0.437169,0.0375421,0.399627,-0.587869,0.0814654
0.402,107.657,0.0039886,-0.11673,0.112741,-0.0853549,-0.138083
0.403,107.657,0.136867,-0.174134,0.0372664,0.0580634,-0.216962
0.404,107.591,0.10697,0.111688,-0.218658,0.23773,0.12334
0.405,107.635,-0.0285667,-0.730231,0.758798,-0.609506,-0.862522
0.406,107.591,0.413255,0.261177,-0.674432,0.788404,0.268834
0.406,107.613,-0.354784,0.0590685,0.295715,-0.455058,0.0986419
0.407,107.635,0.136203,-0.0700896,-0.0661133,0.137893,-0.0939165
0.408,107.591,0.190019,-0.0772651,-0.112754,0.208017,-0.107887
0.41,107.635,0.485009,0.263569,-0.748578,0.889378,0.272174
0.411,107.613,-0.076403,-0.615424,0.691827,-0.585614,-0.721295
0.412,107.657,0.178724,0.242043,-0.420767,0.442403,0.269237
0.413,107.657,-0.0225871,-0.575959,0.598546,-0.482635,-0.677725
0.413,107.635,0.125573,0.361633,-0.487206,0.458022,0.417292
0.414,107.635,-0.150151,0.0746153,0.0755354,-0.153802,0.100813
0.415,107.591,0.242506,-0.078461,-0.164045,0.281178,-0.113202
0.416,107.657,-0.0783962,-0.508988,0.587384,-0.5074,-0.593953
0.416,107.657,0.125573,0.190618,-0.316191,0.324688,0.216006
0.417,107.635,-0.140185,0.0435217,0.0966631,-0.16397,0.0632741
0.418,107.613,0.411926,-0.126297,-0.285629,0.483548,-0.182755
0.419,107.591,-0.357441,1.02656,-0.669117,0.295568,1.24175
0.419,107.591,-0.0597932,-0.615424,0.675217,-0.564101,-0.721132
0.42,107.635,0.417906,-0.0605224,-0.357383,0.54305,-0.105487
0.421,107.635,-0.416572,0.226496,0.190077,-0.411515,0.301578
0.421,107.635,-0.0332174,-0.806769,0.839987,-0.678275,-0.947366
0.422,107.635,0.255794,-0.0210574,-0.234736,0.344553,-0.0475191
0.423,107.613,-0.347476,0.152349,0.195126,-0.371204,0.210313
0.423,107.569,0.00930374,-0.691962,0.682658,-0.52841,-0.815907
0.424,107.657,0.211279,-0.00192284,-0.209357,0.2967,-0.021027
0.425,107.657,-0.357441,0.141586,0.215855,-0.393693,0.197462
0.425,107.635,-0.0232515,-0.652497,0.675749,-0.545529,-0.765067
0.426,107.591,-0.182706,-0.925164,1.10787,-0.981925,-1.07618
0.427,107.701,-0.017272,-0.0700896,0.0873616,-0.0787952,-0.0810267
0.428,107.635,0.476372,0.767046,-1.24342,1.26569,0.871444
0.428,107.591,-0.437833,0.026779,0.411054,-0.597379,0.0672175
0.429,107.635,-0.158788,-0.980176,1.13896,-0.978914,-1.15105
0.429,107.613,0.146169,-0.0413878,-0.104781,0.174407,-0.0603292
0.43,107.635,0.240513,0.817275,-1.05779,0.974009,0.946575
0.431,107.679,-0.278379,0.236063,0.0423156,-0.210595,0.302786
0.431,107.635,-0.34216,0.322168,0.019992,-0.229697,0.410494
0.432,107.657,0.126901,-1.13206,1.00516,-0.706855,-1.34475
0.433,107.657,-0.095006,0.991877,-0.896871,0.642166,1.1768
0.433,107.635,-0.0146144,-0.682395,0.697009,-0.550364,-0.80548
0.434,107.613,-0.30429,0.135607,0.168683,-0.323354,0.186756
0.435,107.657,-0.291002,0.179855,0.111147,-0.270606,0.236245
0.435,107.635,0.114942,-0.806769,0.691827,-0.466579,-0.961779
0.436,107.613,-0.347476,0.294663,0.052813,-0.259827,0.379337
0.437,107.613,0.102319,0.379572,-0.481891,0.436745,0.442738
0.438,107.635,0.220581,-0.151411,-0.0691694,0.194424,-0.19638
0.439,107.613,0.104976,-0.318839,0.213862,-0.0992943,-0.385429
0.44,107.613,0.0039886,-0.939515,0.935527,-0.729651,-1.10703
0.44,107.635,0.00930374,0.898596,-0.9079,0.716388,1.05765
0.441,107.613,0.386679,-0.0700896,-0.31659,0.49184,-0.114261
0.443,107.613,-0.47969,0.0315626,0.448127,-0.652555,0.0780243
0.444,107.657,-0.416572,0.189423,0.22715,-0.441105,0.257754
0.445,107.591,0.0936817,0.389139,-0.482821,0.435562,0.45123
0.446,107.679,-0.0757386,-0.461152,0.53689,-0.466362,-0.537731
0.446,107.613,0.238519,-0.078461,-0.160058,0.276153,-0.111382
0.447,107.613,-0.0757386,-0.657281,0.733019,-0.619235,-0.769168
0.448,107.657,0.156799,0.169092,-0.325891,0.353644,0.185254
0.449,107.679,-0.0225871,-0.921577,0.944164,-0.747292,-1.08556
0.449,107.635,0.0704279,0.859131,-0.929559,0.766363,1.00987
0.45,107.591,-0.0976636,-0.30688,0.404543,-0.37896,-0.351793
0.451,107.613,-0.0923485,0.954804,-0.862456,0.610811,1.13619
0.452,107.635,0.258451,-0.174134,-0.0843176,0.228504,-0.228068
0.453,107.657,-0.416572,-0.30688,0.723452,-0.827255,-0.326711
0.456,107.635,-0.032553,-0.836667,0.86922,-0.695449,-0.99196
0.457,107.657,0.2053,-0.078461,-0.126839,0.228951,-0.109425
0.458,107.613,-0.357441,0.121256,0.236186,-0.409604,0.174572
0.46,107.635,-0.33153,0.141586,0.189944,-0.35817,0.195259
0.461,107.635,0.23254,-0.337973,0.105433,0.0614592,-0.419094
0.462,107.679,0.210615,-0.078461,-0.132154,0.236159,-0.110491
0.464,107.635,0.148162,-0.40016,0.251998,-0.105354,-0.484236
0.467,107.591,0.0544825,0.0722235,-0.126706,0.132988,0.0809511
0.467,107.591,-0.251138,0.0363462,0.214792,-0.326362,0.0633634
0.47,107.613,0.104312,0.389139,-0.493451,0.449357,0.451534
0.47,107.569,-0.0857045,-0.461152,0.546856,-0.480431,-0.538172
0.471,107.613,0.455112,-0.0605224,-0.394589,0.594989,-0.108509
0.472,107.591,0.3807,-0.0796569,-0.301043,0.476331,-0.122529
0.472,107.613,0.0704279,0.820862,-0.89129,0.741824,0.960662
0.473,107.635,-0.299639,0.0746153,0.225024,-0.365132,0.112541
0.473,107.613,-0.181377,0.0554808,0.125896,-0.212798,0.080888
0.474,107.613,-0.0126212,-0.797202,0.809823,-0.639197,-0.939645
0.474,107.635,0.1176,-0.959846,0.842246,-0.579073,-1.1442
0.477,107.679,-0.0338818,0.294663,-0.260781,0.181846,0.351076
0.481,107.547,0.0777363,0.475245,-0.552981,0.478677,0.555479
0.481,107.657,-0.0126212,-0.835471,0.848092,-0.66638,-0.984803
0.482,107.613,-0.0119568,-0.998115,1.01007,-0.798018,-1.1725
0.484,107.613,-0.0976636,-0.61662,0.714284,-0.616559,-0.720982
0.486,107.679,0.221245,0.657023,-0.878268,0.820366,0.76091
0.488,107.613,0.0571401,0.121256,-0.178396,0.174803,0.138697
0.489,107.635,0.0571401,-0.462348,0.405208,-0.278237,-0.551188
0.493,107.613,-0.177391,0.0554808,0.12191,-0.206515,0.0822151
0.494,107.613,0.125573,0.973939,-1.09951,0.939457,1.13608
0.496,107.679,0.17806,-0.298508,0.120449,0.0157267,-0.367433
0.498,107.635,-0.267084,-0.32721,0.594294,-0.633048,-0.361712
0.501,107.679,0.184039,0.819666,-1.00371,0.901242,0.949164
0.502,107.613,-0.177391,-0.912009,1.0894,-0.95843,-1.06626
0.503,107.657,0.413255,0.19301,-0.606265,0.733816,0.192625
0.504,107.657,-0.140185,0.0363462,0.103839,-0.169854,0.0538956
0.504,107.635,0.348809,-0.078461,-0.270348,0.431568,-0.122239
0.505,107.591,-0.415908,-0.653693,1.0696,-1.10058,-0.730117
0.507,107.635,-0.054478,-0.213599,0.268077,-0.244057,-0.246766
0.51,107.657,-0.437833,-0.845038,1.28287,-1.27415,-0.963369
0.512,107.613,0.178724,-0.233929,0.0552051,0.0676125,-0.291236
0.513,107.635,-0.458429,-0.443213,0.901642,-0.996474,-0.476019
0.514,107.635,-0.017272,-0.193268,0.21054,-0.173806,-0.227529
0.515,107.657,0.0039886,-0.11673,0.112741,-0.08424,-0.138766
0.517,107.657,-0.265091,-0.615424,0.880515,-0.85391,-0.701384
0.518,107.657,0.136203,0.417841,-0.554044,0.515366,0.481484
0.518,107.679,0.237855,0.226496,-0.464351,0.513631,0.245673
0.52,107.679,-0.437169,-0.290137,0.727305,-0.841628,-0.302938
0.521,107.635,0.285027,0.167896,-0.452923,0.533692,0.172458
0.522,107.591,0.327548,0.934474,-1.26202,1.19938,1.06523
0.523,107.569,0.338179,-0.078461,-0.259718,0.416235,-0.123569
0.524,107.657,-0.017272,-0.078461,0.095733,-0.085783,-0.0908875
0.525,107.635,0.167429,-0.078461,-0.0889684,0.174909,-0.107289
0.527,107.635,-0.433182,-0.00670648,0.439889,-0.616652,0.0305678
0.528,107.635,-0.035875,-0.709901,0.745776,-0.603976,-0.83465
0.529,107.591,-0.0757386,-0.00311875,0.0788574,-0.109348,0.00275853
0.529,107.569,0.1176,-0.806769,0.68917,-0.457655,-0.964476
0.53,107.613,-0.309605,0.994269,-0.684664,0.337929,1.19958
0.531,107.591,-0.352791,0.0734194,0.279371,-0.439839,0.120175
0.531,107.679,-0.33153,1.03852,-0.706988,0.341468,1.25457
0.533,107.635,0.413919,0.379572,-0.793491,0.88017,0.412716
0.533,107.635,-0.225227,-0.690766,0.915993,-0.856362,-0.795974
0.534,107.635,0.13886,0.154741,-0.293602,0.317094,0.169943
0.535,107.657,-0.0119568,-0.709901,0.721858,-0.570212,-0.835149
0.535,107.679,-0.415908,0.0447176,0.37119,-0.552264,0.0881252
0.536,107.613,0.0305643,0.609187,-0.639751,0.519899,0.714863
0.537,107.679,0.247821,-0.0401919,-0.207629,0.318325,-0.0693502
0.538,107.635,-0.374716,0.0734194,0.301296,-0.471743,0.118492
0.539,107.591,0.137532,0.11408,-0.251612,0.282736,0.123685
0.54,107.635,0.0305643,0.685725,-0.716289,0.577635,0.806573
0.54,107.657,-0.10763,-0.0641101,0.17174,-0.201727,-0.0670434
0.541,107.613,-0.171411,-0.810357,0.981768,-0.876133,-0.93932
0.542,107.635,-0.344154,0.112884,0.231269,-0.397839,0.162464
0.543,107.591,0.110956,0.82445,-0.935406,0.806984,0.956969
0.545,107.613,-0.0757386,-0.174134,0.249872,-0.243711,-0.197737
0.546,107.635,-0.219248,0.026779,0.192469,-0.288493,0.0510133
0.546,107.679,0.184039,0.379572,-0.563611,0.553329,0.435236
0.547,107.635,-0.0969992,-1.08542,1.18242,-0.986372,-1.27257
0.548,107.635,0.178724,-0.32721,0.148486,-0.00274745,-0.401309
0.549,107.635,0.0624552,0.24563,-0.308085,0.279622,0.28454
0.55,107.591,0.136203,-0.346345,0.210142,-0.0788152,-0.420064
0.551,107.613,-0.0445121,-0.657281,0.701793,-0.568919,-0.77643
0.552,107.635,0.112949,0.341303,-0.454252,0.423357,0.395422
0.553,107.635,-0.11826,-0.163371,0.28163,-0.294771,-0.181937
0.553,107.613,-0.0976636,-0.540082,0.637745,-0.560522,-0.627504
0.554,107.591,-0.076403,-0.653693,0.730096,-0.619428,-0.763218
0.554,107.635,0.178724,-0.078461,-0.100263,0.19085,-0.108292
0.555,107.591,0.112949,-0.998115,0.885166,-0.621722,-1.1874
0.556,107.635,-0.416572,0.312601,0.103971,-0.3444,0.404291
0.557,107.613,0.189354,-1.11292,0.923568,-0.593019,-1.33258
0.558,107.591,-0.00730609,-0.825904,0.83321,-0.651449,-0.975718
0.558,107.569,-0.374716,0.0746153,0.3001,-0.471131,0.118639
0.559,107.569,0.136203,0.0172117,-0.153415,0.205637,0.00983558
0.561,107.569,-0.129554,-0.00192284,0.131477,-0.184408,0.00824969
0.561,107.635,0.476372,-0.0832446,-0.393128,0.608686,-0.138728
0.562,107.613,-0.0976636,-0.0605224,0.158186,-0.185042,-0.0631152
0.563,107.701,0.471057,-0.0198615,-0.451196,0.649821,-0.0599944
0.564,107.613,0.39133,-0.108359,-0.282971,0.468821,-0.161134
0.564,107.635,0.178724,-0.078461,-0.100263,0.19114,-0.10778
0.565,107.657,0.157463,0.116472,-0.273936,0.313069,0.124894
0.565,107.657,-0.267748,1.00264,-0.734892,0.41001,1.20372
0.566,107.591,-0.357441,0.179855,0.177586,-0.365046,0.241641
0.566,107.635,-0.0126212,-1.02682,1.03944,-0.814917,-1.21279
0.567,107.613,0.152148,0.236063,-0.388211,0.399492,0.264554
0.568,107.657,-0.399298,0.112884,0.286414,-0.474779,0.169703
0.568,107.635,-0.0338818,-0.731427,0.765309,-0.61563,-0.860221
